tweet_count,user_name,text,created_at,retweet_count,favorite_count,reply_count
59,juria,"RT @ProCryptoWhale: 💪 Fitnesspumps ($FIT)

🏋️ Let’s make this pump JUICY!
🔥 Flex, rep, and send it to the moon with the strongest meme on S…",2025-06-08 02:00:23+00:00,68,0,0
60,SOOK🔺🔜🉐🇩🇪,@alexlockin @solana @SolanaSummitOrg @0xavinash @AuroraInWeb3 Let’s pamp!!! 😂✌🏻✌🏻✌🏻,2025-06-08 02:00:22+00:00,0,0,0
61,币圈VIP付费社群汇总（转发群 信息聚合）,@BroLeonAus @BNBCHAINZH BSC和Solana都在讨论Bnbchain，前景看好。,2025-06-08 02:00:21+00:00,0,0,0
62,𝐂𝗂𐓣𝗀 𝐊α𝗀𝖾𝗍 🙀,"RT @sol_promise: $50 giveaway.

- Rt, like and follow @xeverade
- RT his pinned tweet 
- drop your solana addy.

I’ll send $25 to 2 winners…",2025-06-08 02:00:19+00:00,478,0,0
63,Xaviera,"@drcrypto_solana Best memecoins coz so potential token in crypto 🔥 
#FARTCOIN",2025-06-08 02:00:18+00:00,0,0,0
64,kayy,"RT @AltcoinHunter_1: 🚨 NEW MEME COIN JUST DROPPED 🚨

MOONKING 👑🐻 just launched on Solana 🚀

The crowned bear is here to rule the moon.

✅ 1…",2025-06-08 02:00:18+00:00,133,0,0
65,🌬️,@HolyOneNetwork Sounds powerful! 🔮 Excited to see $HOLY bring together tech and ancient wisdom on Solana. Count me in for the awakening! 🚀✨,2025-06-08 02:00:18+00:00,0,0,0
66,Tuyet RundaReddio🔆,@Btcniumowang @cookiedotfun @sparkdotfi Bitcoin Web3 Cool project. Followed! zkRollups Thanks fam. Super informative. token swap liquidity pool DAO Solana I'm interested. augmented reality Rooting for you @GiveRep @ikadotxyz @ATTNtoken,2025-06-08 02:00:18+00:00,0,0,0
67,Jaime 🪽,"Shilligans are worldwide! Will you be part of the club?

🪂Another 1,000,000 airdrop!🪂

✅️ Follow Us ST6CEO
🔔 Turn on
🔁 RT &amp;amp; Like
➡️ Drop $SOL address

Taraxa ST6 BSC TON Solana AirdropSeason AirdropCrypto",2025-06-08 02:00:16+00:00,0,0,0
68,vindyyy,"RT @AltcoinHunter_1: 🚨 NEW MEME COIN JUST DROPPED 🚨

MOONKING 👑🐻 just launched on Solana 🚀

The crowned bear is here to rule the moon.

✅ 1…",2025-06-08 02:00:12+00:00,133,0,0
69,"🍊,💊 l HUDL l 「☄️G☄️」 (Ø,G) l LIF l PiNad","RT @COWBOY_TBC: 🚨 $TBC AIRDROP IS LIVE 🤠💅
To kick off the launch of The Blockchain Cowgirl on #Solana, we’re dropping tokens to early suppo…",2025-06-08 02:00:11+00:00,497,0,0
70,90kelly 🐺⚔️,"RT @Nutx_Chain: I just minted mine the moment it launched, RT+ drop your #solana wallet⬇️ —
here’s exactly what I did 👇

1️⃣ Click my TP wa…",2025-06-08 02:00:09+00:00,6,0,0
71,Chells || 🍀🤍,"RT @Crypto_Vertex1: 🧀 $RATZUCK HAS ENTERED THE CITY 🐀
Zuck just went full rat-mode... and the cheese is NOT safe.
A new Solana meme legend…",2025-06-08 02:00:09+00:00,69,0,0
72,B I M B S Y 💹⚜️,@OfficialOddGuy @solana @crossmint @oddisees @MagicEden @pumpdotfun Gn Odd guy❤️,2025-06-08 02:00:08+00:00,0,0,0
73,CryptoKoala,"RT @crypto_coinalt: PopProp (POP) – Where Memes Meet Real Potential
🏡 A fresh meme coin on Solana that gives legends like Doge and Pepe a h…",2025-06-08 02:00:05+00:00,31,0,0
